learning_rate,exploration_rate,shrinkage_factor,num_of_clusters,time_taken,average_guesses,win_rate
0.1,0.6,0.6,7.0,4.256708860397339,3.94,98.0
0.1,0.6,0.6,8.0,4.128080129623413,4.17,99.0
0.1,0.6,0.6,9.0,6.267130374908447,3.98,98.0
0.1,0.6,0.6,10.0,4.784344434738159,3.97,98.0
0.1,0.6,0.7,6.0,5.535258531570435,3.85,97.0
0.1,0.6,0.7,7.0,5.101585388183594,4.04,99.0
0.1,0.6,0.7,8.0,4.687633752822876,4.21,95.0
0.1,0.6,0.7,9.0,4.7552618980407715,4.16,95.0
0.1,0.6,0.7,10.0,5.313430309295654,4.01,97.0
0.1,0.6,0.8,6.0,5.143598794937134,4.01,98.0
0.1,0.6,0.8,7.0,4.733707904815674,4.05,99.0
0.1,0.6,0.8,8.0,4.86627721786499,4.17,98.0
0.1,0.6,0.8,9.0,4.594658613204956,4.16,97.0
0.1,0.6,0.8,10.0,4.7582924365997314,4.07,98.0
0.1,0.6,0.9,6.0,4.326484680175781,3.89,96.0
0.1,0.6,0.9,7.0,5.608962535858154,4.07,97.0
0.1,0.6,0.9,8.0,6.668102979660034,4.01,99.0
0.1,0.6,0.9,9.0,5.857261419296265,4.02,98.0
0.1,0.6,0.9,10.0,5.674220323562622,4.0,96.0
0.1,0.7,0.5,6.0,5.6686484813690186,4.02,96.0
0.1,0.7,0.5,7.0,5.638648748397827,4.08,97.0
0.1,0.7,0.5,8.0,4.616364240646362,4.01,99.0
0.1,0.7,0.5,9.0,5.46038293838501,3.9,99.0
0.1,0.7,0.5,10.0,4.918848991394043,3.94,97.0
0.1,0.7,0.6,6.0,4.830244779586792,4.2,96.0
0.1,0.7,0.6,7.0,4.530240535736084,3.87,98.0
0.1,0.7,0.6,8.0,5.3838818073272705,3.99,98.0
0.1,0.7,0.6,9.0,5.59031081199646,4.01,97.0
0.1,0.7,0.6,10.0,5.780503034591675,4.1,98.0
0.1,0.7,0.7,6.0,5.712039470672607,4.1,99.0
0.1,0.7,0.7,7.0,5.5331408977508545,4.01,98.0
0.1,0.7,0.7,8.0,4.651018857955933,4.19,98.0
0.1,0.7,0.7,9.0,5.076345443725586,3.86,97.0
0.1,0.7,0.7,10.0,4.6450300216674805,4.01,98.0
0.1,0.7,0.8,6.0,4.531212568283081,3.97,100.0
0.1,0.7,0.8,7.0,4.8293116092681885,3.95,97.0
0.1,0.7,0.8,8.0,5.206505060195923,3.96,96.0
0.1,0.7,0.8,9.0,4.619932651519775,4.05,96.0
0.1,0.7,0.8,10.0,4.496002197265625,4.05,97.0
0.1,0.7,0.9,6.0,4.908067464828491,3.86,97.0
0.1,0.7,0.9,7.0,5.090313911437988,3.98,99.0
0.1,0.7,0.9,8.0,4.5492260456085205,4.05,98.0
0.1,0.7,0.9,9.0,4.837057590484619,3.99,99.0
