learning_rate,exploration_rate,shrinkage_factor,num_of_clusters,time_taken,average_guesses,win_rate
0.1,0.9,0.6,10.0,122.91710615158081,4.93,87.0
0.1,0.9,0.7,6.0,123.56416201591492,4.98,89.0
0.1,0.9,0.7,7.0,131.55084824562073,4.51,92.0
0.1,0.9,0.7,8.0,123.65104603767395,4.86,88.0
0.1,0.9,0.7,9.0,109.23792123794556,4.94,88.0
0.1,0.9,0.7,10.0,108.45387077331543,4.94,84.0
0.1,0.9,0.8,6.0,126.44238424301147,4.76,91.0
0.1,0.9,0.8,7.0,123.18904376029968,5.07,82.0
0.1,0.9,0.8,8.0,116.63616299629211,4.84,90.0
0.1,0.9,0.8,9.0,118.72726273536682,5.02,87.0
0.1,0.9,0.8,10.0,106.79407143592834,4.96,85.0
0.1,0.9,0.9,6.0,102.91249084472656,4.88,87.0
0.1,0.9,0.9,7.0,126.79067015647888,4.82,88.0
0.1,0.9,0.9,8.0,94.69621872901917,5.18,84.0
0.1,0.9,0.9,9.0,115.37360095977783,4.99,84.0
0.1,0.9,0.9,10.0,116.53763365745544,5.05,85.0
0.01,0.5,0.5,6.0,112.91421675682068,5.23,81.0
0.01,0.5,0.5,7.0,108.72976636886597,4.92,90.0
0.01,0.5,0.5,8.0,108.57937431335449,5.14,83.0
0.01,0.5,0.5,9.0,106.34866118431091,4.75,92.0
0.01,0.5,0.5,10.0,105.82119679450989,4.79,89.0
0.01,0.5,0.6,6.0,112.69499731063843,4.92,86.0
0.01,0.5,0.6,7.0,108.95916056632996,4.89,83.0
0.01,0.5,0.6,8.0,110.64239883422852,4.66,94.0
0.01,0.5,0.6,9.0,105.87755680084229,4.96,87.0
0.01,0.5,0.6,10.0,102.03173565864563,5.04,87.0
0.01,0.5,0.7,6.0,91.63079285621643,4.76,93.0
0.01,0.5,0.7,7.0,89.24744510650635,4.84,84.0
0.01,0.5,0.7,8.0,107.68227505683899,4.92,87.0
0.01,0.5,0.7,9.0,110.88402962684631,4.89,84.0
